# Tessera TSV interconnect transfer function (single signal line, center signal + ground ring).
# geometry: radius=5um pitch=60um height=100um liner=0.5um. See README.md for provenance/caveats.
# columns: freq_hz, s21_re, s21_im, s21_abs_db, s21_phase_deg, s11_re, s11_im, s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
2.500000e+10,3.14942130e-01,-4.08882909e-01,-5.7451,-52.3947,-6.78563734e-01,-5.22663831e-01,-1.3453
2.525000e+10,3.15324715e-01,-4.00786063e-01,-5.8493,-51.8055,-6.76044136e-01,-5.31888317e-01,-1.3080
2.550000e+10,3.15581665e-01,-3.92897681e-01,-5.9523,-51.2280,-6.73406701e-01,-5.40890970e-01,-1.2724
2.575000e+10,3.15722448e-01,-3.85231227e-01,-6.0540,-50.6631,-6.70667168e-01,-5.49656063e-01,-1.2383
2.600000e+10,3.15757475e-01,-3.77793369e-01,-6.1541,-50.1113,-6.67839050e-01,-5.58175949e-01,-1.2058
2.625000e+10,3.15697797e-01,-3.70589713e-01,-6.2525,-49.5730,-6.64935091e-01,-5.66444604e-01,-1.1748
2.650000e+10,3.15552378e-01,-3.63624164e-01,-6.3489,-49.0486,-6.61969910e-01,-5.74456266e-01,-1.1452
2.675000e+10,3.15331670e-01,-3.56894742e-01,-6.4434,-48.5380,-6.58953459e-01,-5.82213381e-01,-1.1171
2.700000e+10,3.15044153e-01,-3.50400760e-01,-6.5358,-48.0414,-6.55897872e-01,-5.89715585e-01,-1.0904
2.725000e+10,3.14697749e-01,-3.44138481e-01,-6.6261,-47.5586,-6.52813615e-01,-5.96966009e-01,-1.0650
2.750000e+10,3.14300653e-01,-3.38104227e-01,-6.7142,-47.0896,-6.49709872e-01,-6.03968305e-01,-1.0408
2.775000e+10,3.13859319e-01,-3.32291177e-01,-6.8001,-46.6340,-6.46594945e-01,-6.10728973e-01,-1.0178
2.800000e+10,3.13380543e-01,-3.26694187e-01,-6.8838,-46.1916,-6.43476537e-01,-6.17253181e-01,-0.9960
2.825000e+10,3.12869461e-01,-3.21306144e-01,-6.9653,-45.7622,-6.40361925e-01,-6.23547647e-01,-0.9752
2.850000e+10,3.12331830e-01,-3.16119733e-01,-7.0447,-45.3453,-6.37256192e-01,-6.29620273e-01,-0.9555
2.875000e+10,3.11771647e-01,-3.11127000e-01,-7.1219,-44.9407,-6.34164865e-01,-6.35478839e-01,-0.9367
2.900000e+10,3.11193016e-01,-3.06320576e-01,-7.1971,-44.5479,-6.31092528e-01,-6.41130902e-01,-0.9188
2.925000e+10,3.10599751e-01,-3.01692765e-01,-7.2702,-44.1666,-6.28042680e-01,-6.46584614e-01,-0.9017
2.950000e+10,3.09995070e-01,-2.97236733e-01,-7.3413,-43.7964,-6.25019153e-01,-6.51846944e-01,-0.8855
