# Tessera TSV -- PUBLIC checkpoint, DIRECT evaluation (not the scale model).
# geometry: radius 5 um, pitch 60 um, height 100 um, liner 0.5 um, 300 K -- SHIPPED_TSV_DESIGN, upstream's own canonical demo geometry (README quickstart / examples/predict_smatrix.py / config.yaml optimization.fixed_params; see F90 in notes/ESTABLISHED_FACTS.md)
# arrangement: ring3x3 (one center signal via, ground ring)
# checkpoint: models/best_model.pth, commit e53bb885429586fb01209c82bb5c684f778b8cf4, sha256 97fb2a651bf475d124609e16e0feeecd7e97c8e1d5f494696bab9b838c6d3e09
# wrapper: e2e_sim_public commit 88f6240434f6371b37db45c8fb909f19b6b6bfb7, TesseraTSV.OUTPUT_VERSION=1
# scale: 1.0 -- this is the DIRECT evaluation at the geometry above, NOT the scale model (see tessera_tsv_s21_public_ka_scaled.csv for that)
# generated: 2026-09-23
# command: python -m e2e.data.interconnect.regenerate_tessera_tsv
# phase is the surrogate's OWN phase (not a minimum-phase reconstruction).
# columns: freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
2.750000e+10,9.03169155e-01,-2.45117038e-01,-0.575966,-15.184131,-6.42633513e-02,-3.76083404e-02,-22.561638
2.775000e+10,9.02680874e-01,-2.46959716e-01,-0.575842,-15.300837,-6.44244179e-02,-3.77891287e-02,-22.534807
2.800000e+10,9.02190328e-01,-2.48802796e-01,-0.575702,-15.417600,-6.45827577e-02,-3.79697010e-02,-22.508335
2.825000e+10,9.01697636e-01,-2.50646234e-01,-0.575543,-15.534414,-6.47384003e-02,-3.81499827e-02,-22.482221
2.850000e+10,9.01202679e-01,-2.52490342e-01,-0.575367,-15.651301,-6.48913905e-02,-3.83300558e-02,-22.456451
2.875000e+10,9.00705338e-01,-2.54335076e-01,-0.575175,-15.768259,-6.50417879e-02,-3.85098159e-02,-22.431023
2.900000e+10,9.00205493e-01,-2.56180376e-01,-0.574967,-15.885287,-6.51896074e-02,-3.86893004e-02,-22.405930
2.925000e+10,8.99703085e-01,-2.58026481e-01,-0.574744,-16.002399,-6.53349534e-02,-3.88684571e-02,-22.381163
2.950000e+10,8.99198294e-01,-2.59873360e-01,-0.574504,-16.119591,-6.54778257e-02,-3.90472934e-02,-22.356716
2.975000e+10,8.98690701e-01,-2.61721194e-01,-0.574250,-16.236880,-6.56183437e-02,-3.92258242e-02,-22.332577
3.000000e+10,8.98180664e-01,-2.63569772e-01,-0.573980,-16.354247,-6.57564923e-02,-3.94039452e-02,-22.308748
3.025000e+10,8.97667408e-01,-2.65419394e-01,-0.573699,-16.471724,-6.58923164e-02,-3.95817161e-02,-22.285221
3.050000e+10,8.97151709e-01,-2.67269969e-01,-0.573400,-16.589291,-6.60259202e-02,-3.97590622e-02,-22.261986
3.075000e+10,8.96632910e-01,-2.69121617e-01,-0.573090,-16.706967,-6.61572441e-02,-3.99359688e-02,-22.239047
3.100000e+10,8.96110892e-01,-2.70974398e-01,-0.572769,-16.824758,-6.62864521e-02,-4.01124731e-02,-22.216386
3.125000e+10,8.95586252e-01,-2.72828281e-01,-0.572431,-16.942651,-6.64134398e-02,-4.02884781e-02,-22.194014
3.150000e+10,8.95058274e-01,-2.74683386e-01,-0.572083,-17.060665,-6.65384308e-02,-4.04639989e-02,-22.171908
3.175000e+10,8.94526958e-01,-2.76539743e-01,-0.571724,-17.178803,-6.66613057e-02,-4.06389907e-02,-22.150080
3.200000e+10,8.93992186e-01,-2.78397352e-01,-0.571356,-17.297067,-6.67821392e-02,-4.08134833e-02,-22.128518
3.225000e+10,8.93454313e-01,-2.80256331e-01,-0.570974,-17.415457,-6.69010356e-02,-4.09873948e-02,-22.107215
3.250000e+10,8.92912984e-01,-2.82116711e-01,-0.570581,-17.533981,-6.70178905e-02,-4.11607251e-02,-22.086180
3.275000e+10,8.92367959e-01,-2.83978403e-01,-0.570181,-17.652640,-6.71328679e-02,-4.13333997e-02,-22.065399
3.300000e+10,8.91819417e-01,-2.85841674e-01,-0.569770,-17.771444,-6.72459677e-02,-4.15054932e-02,-22.044866
3.325000e+10,8.91267240e-01,-2.87706316e-01,-0.569349,-17.890385,-6.73571602e-02,-4.16769162e-02,-22.024588
3.350000e+10,8.90711308e-01,-2.89572567e-01,-0.568920,-18.009479,-6.74665645e-02,-4.18476090e-02,-22.004555
3.375000e+10,8.90151381e-01,-2.91440248e-01,-0.568485,-18.128719,-6.75740913e-02,-4.20176163e-02,-21.984771
3.400000e+10,8.89587641e-01,-2.93309659e-01,-0.568040,-18.248121,-6.76798448e-02,-4.21868637e-02,-21.965229
3.425000e+10,8.89020085e-01,-2.95180619e-01,-0.567587,-18.367673,-6.77838251e-02,-4.23553586e-02,-21.945927
3.450000e+10,8.88448000e-01,-2.97053158e-01,-0.567131,-18.487391,-6.78860769e-02,-4.25230712e-02,-21.926862
3.475000e+10,8.87871981e-01,-2.98927546e-01,-0.566666,-18.607281,-6.79865852e-02,-4.26899791e-02,-21.908034
3.500000e+10,8.87291670e-01,-3.00803512e-01,-0.566196,-18.727333,-6.80853799e-02,-4.28560004e-02,-21.889443
3.525000e+10,8.86707127e-01,-3.02681208e-01,-0.565720,-18.847555,-6.81825355e-02,-4.30211499e-02,-21.871082
3.550000e+10,8.86118114e-01,-3.04560721e-01,-0.565240,-18.967957,-6.82779923e-02,-4.31854352e-02,-21.852953
3.575000e+10,8.85524631e-01,-3.06441963e-01,-0.564755,-19.088535,-6.83717951e-02,-4.33488190e-02,-21.835053
3.600000e+10,8.84926558e-01,-3.08324993e-01,-0.564267,-19.209294,-6.84639141e-02,-4.35112417e-02,-21.817388
3.625000e+10,8.84323835e-01,-3.10209960e-01,-0.563775,-19.330245,-6.85544237e-02,-4.36727107e-02,-21.799947
3.650000e+10,8.83716345e-01,-3.12096685e-01,-0.563280,-19.451380,-6.86433688e-02,-4.38331962e-02,-21.782729
3.675000e+10,8.83104086e-01,-3.13985199e-01,-0.562782,-19.572702,-6.87306598e-02,-4.39926982e-02,-21.765740
3.700000e+10,8.82486761e-01,-3.15875679e-01,-0.562284,-19.694226,-6.88163415e-02,-4.41511422e-02,-21.748978
3.725000e+10,8.81864548e-01,-3.17768037e-01,-0.561784,-19.815946,-6.89004436e-02,-4.43085656e-02,-21.732438
3.750000e+10,8.81237328e-01,-3.19662333e-01,-0.561281,-19.937866,-6.89829364e-02,-4.44649234e-02,-21.716124
3.775000e+10,8.80604923e-01,-3.21558595e-01,-0.560779,-20.059993,-6.90638795e-02,-4.46202010e-02,-21.700031
3.800000e+10,8.79967213e-01,-3.23456705e-01,-0.560277,-20.182324,-6.91432133e-02,-4.47744206e-02,-21.684161
3.825000e+10,8.79324198e-01,-3.25356781e-01,-0.559775,-20.304865,-6.92210123e-02,-4.49274778e-02,-21.668512
3.850000e+10,8.78675580e-01,-3.27258766e-01,-0.559276,-20.427620,-6.92971870e-02,-4.50794324e-02,-21.653088
3.875000e+10,8.78021479e-01,-3.29162776e-01,-0.558778,-20.550594,-6.93718120e-02,-4.52302247e-02,-21.637885
3.900000e+10,8.77361894e-01,-3.31068814e-01,-0.558281,-20.673788,-6.94449022e-02,-4.53799143e-02,-21.622897
3.925000e+10,8.76696587e-01,-3.32976758e-01,-0.557788,-20.797199,-6.95163682e-02,-4.55284715e-02,-21.608132
3.950000e+10,8.76025319e-01,-3.34886670e-01,-0.557299,-20.920839,-6.95862845e-02,-4.56758365e-02,-21.593587
3.975000e+10,8.75348330e-01,-3.36798608e-01,-0.556812,-21.044705,-6.96546361e-02,-4.58219871e-02,-21.579263
4.000000e+10,8.74665022e-01,-3.38712394e-01,-0.556333,-21.168801,-6.97214082e-02,-4.59669903e-02,-21.565156
4.025000e+10,8.73975873e-01,-3.40628296e-01,-0.555857,-21.293133,-6.97865859e-02,-4.61108461e-02,-21.551268
4.050000e+10,8.73280644e-01,-3.42546254e-01,-0.555385,-21.417704,-6.98501542e-02,-4.62535098e-02,-21.537600
4.075000e+10,8.72579098e-01,-3.44466090e-01,-0.554921,-21.542508,-6.99122027e-02,-4.63949218e-02,-21.524147
4.100000e+10,8.71871114e-01,-3.46387953e-01,-0.554463,-21.667559,-6.99725822e-02,-4.65352312e-02,-21.510914
4.125000e+10,8.71156573e-01,-3.48311722e-01,-0.554015,-21.792853,-7.00314566e-02,-4.66743484e-02,-21.497889
4.150000e+10,8.70435715e-01,-3.50237548e-01,-0.553571,-21.918394,-7.00886622e-02,-4.68122810e-02,-21.485086
4.175000e+10,8.69708002e-01,-3.52165282e-01,-0.553139,-22.044186,-7.01443031e-02,-4.69490439e-02,-21.472495
4.200000e+10,8.68973553e-01,-3.54095131e-01,-0.552714,-22.170240,-7.01983050e-02,-4.70846519e-02,-21.460120
4.225000e+10,8.68232250e-01,-3.56026769e-01,-0.552300,-22.296541,-7.02506229e-02,-4.72190827e-02,-21.447964
4.250000e+10,8.67483974e-01,-3.57960373e-01,-0.551897,-22.423103,-7.03013614e-02,-4.73523885e-02,-21.436016
4.275000e+10,8.66728544e-01,-3.59895915e-01,-0.551506,-22.549929,-7.03504756e-02,-4.74845693e-02,-21.424279
4.300000e+10,8.65965962e-01,-3.61833334e-01,-0.551126,-22.677017,-7.03979209e-02,-4.76156622e-02,-21.412753
4.325000e+10,8.65196228e-01,-3.63772720e-01,-0.550758,-22.804374,-7.04437271e-02,-4.77455854e-02,-21.401439
4.350000e+10,8.64418983e-01,-3.65713954e-01,-0.550404,-22.932001,-7.04878643e-02,-4.78745028e-02,-21.390330
4.375000e+10,8.63634467e-01,-3.67657155e-01,-0.550062,-23.059902,-7.05303624e-02,-4.80023101e-02,-21.379430
4.400000e+10,8.62842202e-01,-3.69602054e-01,-0.549736,-23.188073,-7.05711618e-02,-4.81291488e-02,-21.368733
4.425000e+10,8.62042308e-01,-3.71548951e-01,-0.549425,-23.316531,-7.06102774e-02,-4.82548997e-02,-21.358245
4.450000e+10,8.61234426e-01,-3.73497486e-01,-0.549131,-23.445264,-7.06477389e-02,-4.83797118e-02,-21.347953
